,Latitude,Longitude,Total Capacity (MW),Annual,,First Yr Annual (MWh)
3068,47.76,-69.48,0.005,4.14,,6.29
3576,42.96,-81.61,0.005,4.25,,6.82
2822,48.42,-53.81,0.005,4.38,,5.72
2126,45.61,-71.58,0.005,4.13,,6.42
3988,43.4,-80.49,0.005,4.36,,6.97
3218,47.53,-69.8,0.005,4.18,,6.42
973,45.61,-62.81,0.005,4.13,,6.45
1534,45.92,-64.64,0.005,4.14,,6.57
1108,43.17,-80.28,0.005,4.34,,6.86
1153,51.08,-97.62,0.005,4.6,,6.58
2323,45.65,-74.93,0.005,4.36,,6.98
2611,44.62,-63.73,0.005,4.35,,6.6
229,54.5,-122.66,0.005,3.8,,5.77
3148,46.81,-72.5,0.005,4.26,,6.63
1022,44.5,-79.01,0.005,4,,6.94
2315,45.6,-61.61,0.005,3.8,,6.19
1460,45.06,-64.18,0.005,4.07,,6.65
1938,47.48,-70.31,0.005,4.15,,6.56
693,48.91,-79.16,0.005,4.19,,6.72
431,43.95,-78.95,0.005,4.26,,6.97
649,45.96,-71.81,0.005,4.37,,6.3
1779,67.82,-115.09,0.005,3.67,,4.84
998,51.22,-109.38,0.005,4.94,,6.57
856,55.22,-118.02,0.005,4.32,,5.79
2423,45.18,-73.4,0.005,4.32,,6.69
2223,53.03,-108.46,0.005,4.78,,5.95
640,44.15,-81.27,0.005,4.15,,6.46
3086,46.76,-70.95,0.005,4.14,,6.42
2659,53.66,-115.99,0.005,4.35,,6.02
1287,46.48,-67.42,0.005,4.15,,6.65
3694,51.4,-101.58,0.005,4.75,,6.4
1189,49.16,-122.58,0.005,3.58,,5.47
179,45.05,-77.75,0.005,4.33,,6.98
1048,53.51,-113.6,0.005,4.14,,6.33
3526,51.1,-112.98,0.005,4.83,,6.47
3264,49.78,-124.18,0.005,3.61,,6.05
2098,49.24,-98.53,0.005,4.82,,6.93
1786,48.35,-78,0.005,4.24,,6.22
1338,46.15,-67.56,0.005,4.33,,6.59
1170,43.04,-79.28,0.005,4.21,,6.61
3735,56.47,-108.7,0.005,4.35,,5.43
4011,49.18,-97.94,0.005,4.78,,6.91
3814,46.05,-71.96,0.005,4.23,,6.49
1816,45.92,-74.25,0.005,4.22,,6.95
3100,45.56,-72.85,0.005,4.27,,6.59
2195,55.7,-116.9,0.005,4.34,,5.79
3243,48.78,-67.7,0.005,4.17,,6.48
429,42.96,-79.16,0.005,3.99,,6.62
3804,47.03,-65.23,0.005,3.99,,6.63
618,47.5,-53.66,0.005,3.42,,5.68
534,48.49,-59.18,0.005,3.49,,5.55
2443,55.2,-129.07,0.005,3.22,,4.94
1413,53.1,-104.46,0.005,4.67,,6.31
3160,46.3,-73.38,0.005,4.31,,6.85
2511,48.82,-123.71,0.005,3.8,,6.25
2786,53.68,-132.18,0.005,3.22,,4.72
1493,45.99,-65.31,0.005,4.21,,6.65
